card_version,base_card,abv_rarete,artwork_card,img_card
ALIN-000-QCSR-1,ALIN-000,QCSR,1,ALIN-000A.webp
ALIN-001-SP-1,ALIN-001,SP,1,ALIN-001A.webp
ALIN-002-UR-1,ALIN-002,UR,1,ALIN-002A.webp
ALIN-002-QCSR-1,ALIN-002,QCSR,1,ALIN-002B.webp
ALIN-003-C-1,ALIN-003,C,1,ALIN-003A.webp
ALIN-004-SR-1,ALIN-004,SR,1,ALIN-004A.webp
ALIN-004-QCSR-1,ALIN-004,QCSR,1,ALIN-004B.webp
ALIN-005-C-1,ALIN-005,C,1,ALIN-005A.webp
ALIN-006-C-1,ALIN-006,C,1,ALIN-006A.webp
ALIN-007-C-1,ALIN-007,C,1,ALIN-007A.webp
ALIN-008-C-1,ALIN-008,C,1,ALIN-008A.webp
ALIN-009-SP-1,ALIN-009,SP,1,ALIN-009A.webp
ALIN-010-C-1,ALIN-010,C,1,ALIN-010A.webp
ALIN-011-SR-1,ALIN-011,SR,1,ALIN-011A.webp
ALIN-011-QCSR-1,ALIN-011,QCSR,1,ALIN-011B.webp
ALIN-012-SP-1,ALIN-012,SP,1,ALIN-012A.webp
ALIN-013-C-1,ALIN-013,C,1,ALIN-013A.webp
ALIN-014-UR-1,ALIN-014,UR,1,ALIN-014A.webp
ALIN-014-QCSR-1,ALIN-014,QCSR,1,ALIN-014B.webp
ALIN-015-C-1,ALIN-015,C,1,ALIN-015A.webp
ALIN-016-SR-1,ALIN-016,SR,1,ALIN-016A.webp
ALIN-016-QCSR-1,ALIN-016,QCSR,1,ALIN-016B.webp
ALIN-017-UR-1,ALIN-017,UR,1,ALIN-017A.webp
ALIN-017-QCSR-1,ALIN-017,QCSR,1,ALIN-017B.webp
ALIN-018-UR-1,ALIN-018,UR,1,ALIN-018A.webp
ALIN-018-QCSR-1,ALIN-018,QCSR,1,ALIN-018B.webp
ALIN-019-UR-1,ALIN-019,UR,1,ALIN-019A.webp
ALIN-019-QCSR-1,ALIN-019,QCSR,1,ALIN-019B.webp
ALIN-020-SP-1,ALIN-020,SP,1,ALIN-020A.webp
ALIN-021-C-1,ALIN-021,C,1,ALIN-021A.webp
ALIN-022-SR-1,ALIN-022,SR,1,ALIN-022A.webp
ALIN-022-QCSR-1,ALIN-022,QCSR,1,ALIN-022B.webp
ALIN-023-SR-1,ALIN-023,SR,1,ALIN-023A.webp
ALIN-023-QCSR-1,ALIN-023,QCSR,1,ALIN-023B.webp
ALIN-024-C-1,ALIN-024,C,1,ALIN-024A.webp
ALIN-025-SP-1,ALIN-025,SP,1,ALIN-025A.webp
ALIN-026-C-1,ALIN-026,C,1,ALIN-026A.webp
ALIN-027-UR-1,ALIN-027,UR,1,ALIN-027A.webp
ALIN-027-QCSR-1,ALIN-027,QCSR,1,ALIN-027B.webp
ALIN-028-UR-1,ALIN-028,UR,1,ALIN-028A.webp
ALIN-028-QCSR-1,ALIN-028,QCSR,1,ALIN-028B.webp
