card_translate,card_version,rarities_translate
ALIN-FR000,ALIN-000-QCSR-1,QCSR-FR
ALIN-FR001,ALIN-001-SP-1,SP-FR
ALIN-FR002,ALIN-002-UR-1,UR-FR
ALIN-FR002,ALIN-002-QCSR-1,QCSR-FR
ALIN-FR003,ALIN-003-C-1,C-FR
ALIN-FR004,ALIN-004-SR-1,SR-FR
ALIN-FR004,ALIN-004-QCSR-1,QCSR-FR
ALIN-FR005,ALIN-005-C-1,C-FR
ALIN-FR006,ALIN-006-C-1,C-FR
ALIN-FR007,ALIN-007-C-1,C-FR
ALIN-FR008,ALIN-008-C-1,C-FR
ALIN-FR009,ALIN-009-SP-1,SP-FR
ALIN-FR010,ALIN-010-C-1,C-FR
ALIN-FR011,ALIN-011-SR-1,SR-FR
ALIN-FR011,ALIN-011-QCSR-1,QCSR-FR
ALIN-FR012,ALIN-012-SP-1,SP-FR
ALIN-FR013,ALIN-013-C-1,C-FR
ALIN-FR014,ALIN-014-UR-1,UR-FR
ALIN-FR014,ALIN-014-QCSR-1,QCSR-FR
ALIN-FR015,ALIN-015-C-1,C-FR
ALIN-FR016,ALIN-016-SR-1,SR-FR
ALIN-FR016,ALIN-016-QCSR-1,QCSR-FR
ALIN-FR017,ALIN-017-UR-1,UR-FR
ALIN-FR017,ALIN-017-QCSR-1,QCSR-FR
ALIN-FR018,ALIN-018-UR-1,UR-FR
ALIN-FR018,ALIN-018-QCSR-1,QCSR-FR
ALIN-FR019,ALIN-019-UR-1,UR-FR
ALIN-FR019,ALIN-019-QCSR-1,QCSR-FR
ALIN-FR020,ALIN-020-SP-1,SP-FR
ALIN-FR021,ALIN-021-C-1,C-FR
ALIN-FR022,ALIN-022-SR-1,SR-FR
ALIN-FR022,ALIN-022-QCSR-1,QCSR-FR
ALIN-FR023,ALIN-023-SR-1,SR-FR
ALIN-FR023,ALIN-023-QCSR-1,QCSR-FR
ALIN-FR024,ALIN-024-C-1,C-FR
ALIN-FR025,ALIN-025-SP-1,SP-FR
ALIN-FR026,ALIN-026-C-1,C-FR
ALIN-FR027,ALIN-027-UR-1,UR-FR
ALIN-FR027,ALIN-027-QCSR-1,QCSR-FR
ALIN-FR028,ALIN-028-UR-1,UR-FR
ALIN-FR028,ALIN-028-QCSR-1,QCSR-FR
ALIN-FR029,ALIN-029-C-1,C-FR
ALIN-FR030,ALIN-030-C-1,C-FR
ALIN-FR031,ALIN-031-C-1,C-FR
