base_card,code_extension,alpha_card,level_card,nbr_link,cross_link,code_card,attack_card,defense_card,passcode_card
ALIN-000,ALIN,1,12,,,000,5000,5000,58931850
ALIN-001,ALIN,1,4,,,001,1800,800,03723262
ALIN-002,ALIN,1,3,,,002,1200,800,30118811
ALIN-003,ALIN,1,1,,,003,300,200,66102515
ALIN-004,ALIN,1,6,,,004,2000,1700,02501624
ALIN-005,ALIN,1,7,,,005,2500,2500,35095329
ALIN-006,ALIN,1,4,,,006,1700,1000,61480937
ALIN-007,ALIN,1,1,,,007,400,800,98888032
ALIN-008,ALIN,1,1,,,008,300,200,34873741
ALIN-009,ALIN,1,4,,,009,1600,1000,60268386
ALIN-010,ALIN,1,4,,,010,900,1900,97662494
ALIN-011,ALIN,1,8,,,011,2500,2100,23151193
ALIN-012,ALIN,1,8,,,012,2500,2100,60145298
ALIN-013,ALIN,1,7,,,013,2500,2500,96540807
ALIN-014,ALIN,1,7,,,014,2500,2500,22938501
ALIN-015,ALIN,1,8,,,015,2500,2500,59323650
ALIN-016,ALIN,0,8,,,016,2500,2500,95718355
ALIN-017,ALIN,1,10,,,017,2500,2500,22812963
ALIN-018,ALIN,1,2,,,018,600,1000,58201062
ALIN-019,ALIN,1,2,,,019,1000,600,94655777
ALIN-020,ALIN,1,4,,,020,1400,1400,21050476
ALIN-021,ALIN,1,3,,,021,0,0,57448410
ALIN-022,ALIN,1,4,,,022,1800,0,84433129
ALIN-023,ALIN,1,3,,,023,600,300,20938824
ALIN-024,ALIN,1,10,,,024,3000,2100,56322832
ALIN-025,ALIN,1,7,,,025,2400,2000,83711531
ALIN-026,ALIN,1,5,,,026,1000,2100,19715246
ALIN-027,ALIN,1,5,,,027,800,2100,56100345
ALIN-028,ALIN,1,2,,,028,500,0,82699999
ALIN-029,ALIN,1,1,,,029,300,200,19093698
ALIN-030,ALIN,1,8,,,030,2300,2500,45488703
ALIN-031,ALIN,1,7,,,031,2350,2400,81476402
ALIN-032,ALIN,1,6,,,032,2250,1800,18861006
ALIN-033,ALIN,1,1,,,033,100,200,44265115
ALIN-034,ALIN,1,6,,,034,1350,2400,71750854
ALIN-035,ALIN,1,12,,,035,4000,4000,17749468
ALIN-036,ALIN,1,10,,,036,1800,2500,43143567
ALIN-037,ALIN,1,8,,,037,3000,2500,70538272
ALIN-038,ALIN,1,7,,,038,2300,2000,16926971
ALIN-039,ALIN,1,8,,,039,2500,3300,43321985
ALIN-040,ALIN,1,12,,,040,3000,2500,79415624
ALIN-041,ALIN,1,4,,,041,700,2000,05800323
ALIN-042,ALIN,1,6,,,042,1800,800,42209438
ALIN-043,ALIN,1,11,,,043,3100,3100,78693036
ALIN-044,ALIN,1,4,,,044,2300,2000,05088741
ALIN-045,ALIN,1,4,,,045,2800,1600,31086840
ALIN-046,ALIN,1,4,,,046,3100,1900,77571454
ALIN-047,ALIN,1,7,,,047,3000,1600,04965193
ALIN-048,ALIN,1,7,,,048,2700,1900,30350202
ALIN-049,ALIN,1,7,,,049,0,0,67359907
ALIN-050,ALIN,1,4,,,050,2000,600,03743515
ALIN-051,ALIN,1,,5,4/5/6/7/8,051,2300,,39138610
ALIN-052,ALIN,1,,1,5,052,100,,06636319
ALIN-053,ALIN,1,,3,2/6/8,053,1000,,42021064
ALIN-054,ALIN,1,,,,054,,,79015062
ALIN-055,ALIN,1,,,,055,,,05414777
ALIN-056,ALIN,1,,,,056,,,31809476
ALIN-057,ALIN,1,,,,057,,,78293584
ALIN-058,ALIN,1,,,,058,,,04398189
ALIN-059,ALIN,1,,,,059,,,31786838
ALIN-060,ALIN,1,,,,060,,,67171933
ALIN-061,ALIN,1,,,,061,,,04575541
ALIN-062,ALIN,1,,,,062,,,30964246
ALIN-063,ALIN,1,,,,063,,,66059345
ALIN-064,ALIN,1,,,,064,,,93453053
ALIN-065,ALIN,1,,,,065,,,39848658
ALIN-066,ALIN,1,,,,066,,,66236707
ALIN-067,ALIN,1,,,,067,,,92221402
ALIN-068,ALIN,1,,,,068,,,38625110
ALIN-069,ALIN,1,,,,069,,,65114115
ALIN-070,ALIN,1,,,,070,,,91509824
ALIN-071,ALIN,1,,,,071,,,28903523
ALIN-072,ALIN,1,,,,072,,,64998567
ALIN-073,ALIN,1,,,,073,,,90386276
ALIN-074,ALIN,1,,,,074,,,27781371
ALIN-075,ALIN,1,,,,075,,,53276089
ALIN-076,ALIN,1,,,,076,,,90664684
ALIN-077,ALIN,1,,,,077,,,22669793
ALIN-078,ALIN,1,,,,078,,,58053438
ALIN-079,ALIN,1,,,,079,,,85442146
ALIN-080,ALIN,1,,,,080,,,21846145
ALIN-081,ALIN,1,1,,,081,500,1800,12500059
ALIN-082,ALIN,1,9,,,082,2200,2200,49904658
ALIN-083,ALIN,1,,,,083,,,75493362
ALIN-084,ALIN,1,4,,,084,300,300,12888461
ALIN-085,ALIN,1,4,,,085,1800,800,48882106
ALIN-086,ALIN,1,,,,086,,,74271714
ALIN-087,ALIN,1,7,,,087,2500,2500,01665819
ALIN-088,ALIN,1,4,,,088,2000,2500,47060528
ALIN-089,ALIN,1,,,,089,,,14554172
ALIN-090,ALIN,1,4,,,090,1200,900,40543231
ALIN-091,ALIN,1,8,,,091,2000,2000,76948970
ALIN-092,ALIN,1,8,,,092,2400,1800,13332685
ALIN-093,ALIN,1,,,,093,,,49721684
ALIN-094,ALIN,1,,,,094,,,76725398
ALIN-095,ALIN,1,,,,095,,,12210097
ALIN-096,ALIN,1,,,,096,,,49604192
ALIN-097,ALIN,1,4,,,097,0,0,46533533
ALIN-098,ALIN,1,8,,,098,1000,2500,08170654
ALIN-099,ALIN,1,5,,,099,1000,2200,87640391
ALIN-100,ALIN,1,8,,,100,0,0,48705086
ALIN-SP1,ALIN,1,8,,,SP1,2500,2500,95718355
ADC1-001,ADC1,0,7,,,001,2500,2000,46986414
